player_id,name_first,name_last,hand,dob,ioc,height,wikidata_id
100644,Alexander,Zverev,R,19970420,GER,198,Q13990552
104925,Novak,Djokovic,R,19870522,SRB,188,Q5812
105777,Grigor,Dimitrov,R,19910516,BUL,191,Q337681
106421,Daniil,Medvedev,R,19960211,RUS,198,Q21622022
111575,Karen,Khachanov,R,19960521,RUS,198,Q16568576
126094,Andrey,Rublev,R,19971020,RUS,188,Q17373391
126203,Taylor,Fritz,R,19971028,USA,196,Q17660516
126205,Tommy,Paul,R,19970517,USA,185,Q20050871
126207,Frances,Tiafoe,R,19980120,USA,188,Q17305299
126214,Alejandro,Tabilo,L,19970602,CHI,188,Q65159701
126774,Stefanos,Tsitsipas,R,19980812,GRE,193,Q24450982
128034,Hubert,Hurkacz,R,19970211,POL,196,Q18927958
134770,Casper,Ruud,R,19981222,NOR,183,Q18810082
200005,Ugo,Humbert,L,19980626,FRA,188,Q54007306
200282,Alex,De Minaur,R,19990217,AUS,183,Q22958938
200615,Alexei,Popyrin,R,19990805,AUS,196,Q30143529
200624,Sebastian,Korda,R,20000705,USA,196,Q47500285
206173,Jannik,Sinner,R,20010816,ITA,191,Q54812588
207518,Lorenzo,Musetti,R,20020303,ITA,185,Q54813043
207733,Jack,Draper,L,20011222,GBR,193,Q65030599
207830,Tomas,Machac,R,20001013,CZE,183,Q61594997
207989,Carlos,Alcaraz,R,20030505,ESP,183,Q85518537
208029,Holger,Rune,R,20030429,DEN,188,
209950,Arthur,Fils,R,20040612,FRA,185,Q107207693
210097,Ben,Shelton,L,20021009,USA,193,Q108532383
